snum,abvr,roi,lobe,isSideLeft,roiNum,cmap_R,cmap_G,cmap_B,mni_x,mni_y,mni_z
1,Tha_L,Left-Thalamus-Proper,Subcortical,1,10,0.0,0.462745098039216,0.0549019607843137,-11.36566539570353,-19.31479587091974,6.422486747884307
2,Cau_L,Left-Caudate,Subcortical,1,11,0.47843137254902,0.729411764705882,0.862745098039216,-13.297286591404244,6.514359279065161,10.55951673598733
3,Put_L,Left-Putamen,Subcortical,1,12,0.925490196078431,0.0509803921568627,0.690196078431373,-25.70594010800197,0.2936917034855071,-0.3638929798723609
4,Pal_L,Left-Pallidum,Subcortical,1,13,0.0470588235294118,0.188235294117647,1.0,-19.652312599681025,-4.648325358851679,-1.0039872408293462
5,Hip_L,Left-Hippocampus,Subcortical,1,17,0.862745098039216,0.847058823529412,0.0784313725490196,-25.276620958185205,-22.999492127983743,-14.025224310140516
6,Amy_L,Left-Amygdala,Subcortical,1,18,0.403921568627451,1.0,1.0,-23.084598698481557,-4.975596529284161,-19.676789587852497
7,Acc_L,Left-Accumbens-area,Subcortical,1,26,1.0,0.647058823529412,0.0,-8.870246085011189,11.964205816554824,-6.610738255033553
8,Tha_R,Right-Thalamus-Proper,Subcortical,0,49,0.0,0.462745098039216,0.0549019607843137,12.06800939306359,-17.57198338150289,6.556900289017335
9,Cau_R,Right-Caudate,Subcortical,0,50,0.47843137254902,0.729411764705882,0.862745098039216,13.730590961761294,8.884511394360743,10.075318655851675
10,Put_R,Right-Putamen,Subcortical,0,51,0.925490196078431,0.0509803921568627,0.690196078431373,26.37934060423717,2.4560611758806488,-1.4115582299109946
11,Pal_R,Right-Pallidum,Subcortical,0,52,0.0509803921568627,0.188235294117647,1.0,20.726070038910507,-3.568093385214013,-1.0914396887159512
12,Hip_R,Right-Hippocampus,Subcortical,0,53,0.862745098039216,0.847058823529412,0.0784313725490196,26.69617391304348,-21.405913043478265,-14.230956521739131
13,Amy_R,Right-Amygdala,Subcortical,0,54,0.403921568627451,1.0,1.0,24.00777453838677,-3.7288629737609256,-19.84499514091351
14,Acc_R,Right-Accumbens-area,Subcortical,0,58,1.0,0.647058823529412,0.0,9.298507462686558,12.098331870061457,-7.0948200175592575
15,Bkst_L,ctx-lh-bankssts,Temporal,1,1001,0.0980392156862745,0.392156862745098,0.156862745098039,-53.06252676659528,-44.020556745182006,7.543040685224838
16,CaACg_L,ctx-lh-caudalanteriorcingulate,Cingulate,1,1002,0.490196078431373,0.392156862745098,0.627450980392157,-5.636752136752136,17.270655270655283,27.947293447293447
17,CaMFr_L,ctx-lh-caudalmiddlefrontal,Frontal,1,1003,0.392156862745098,0.0980392156862745,0.0,-36.01494486360998,12.142048752176436,47.96329077190947
18,Cun_L,ctx-lh-cuneus,Occipital,1,1005,0.862745098039216,0.0784313725490196,0.392156862745098,-6.04071406201065,-82.24710303789539,18.197619793297832
19,Ethr_L,ctx-lh-entorhinal,Temporal,1,1006,0.862745098039216,0.0784313725490196,0.0392156862745098,-22.73816912335144,-4.897595034910779,-34.41078355314197
20,Fusi_L,ctx-lh-fusiform,Temporal,1,1007,0.705882352941177,0.862745098039216,0.549019607843137,-35.171988699597634,-41.82612790000856,-22.19801386867563
21,InPar_L,ctx-lh-inferiorparietal,Parietal,1,1008,0.862745098039216,0.235294117647059,0.862745098039216,-41.1945608348486,-68.8590402403352,35.437267768203014
22,InTem_L,ctx-lh-inferiortemporal,Temporal,1,1009,0.705882352941177,0.156862745098039,0.470588235294118,-51.44421251094202,-35.214463672479965,-21.762440239714493
23,IstCg_L,ctx-lh-isthmuscingulate,Cingulate,1,1010,0.549019607843137,0.0784313725490196,0.549019607843137,-7.13362864525655,-45.68106312292359,18.304909560723516
24,LOcc_L,ctx-lh-lateraloccipital,Occipital,1,1011,0.0784313725490196,0.117647058823529,0.549019607843137,-31.24211509447518,-87.84963000215532,0.08003448523601264
25,LObFr_L,ctx-lh-lateralorbitofrontal,Frontal,1,1012,0.137254901960784,0.294117647058824,0.196078431372549,-23.891773897058826,30.627757352941188,-17.64912683823529
26,Ling_L,ctx-lh-lingual,Occipital,1,1013,0.882352941176471,0.549019607843137,0.549019607843137,-11.845540151713308,-70.47174993460634,-5.177478420088931
27,MObFr_L,ctx-lh-medialorbitofrontal,Frontal,1,1014,0.784313725490196,0.137254901960784,0.294117647058824,-6.932009838369638,33.22329585382994,-16.039529163738578
28,MTem_L,ctx-lh-middletemporal,Temporal,1,1015,0.627450980392157,0.392156862745098,0.196078431372549,-58.88881474685128,-23.90716490115939,-12.74718491950955
29,ParHip_L,ctx-lh-parahippocampal,Temporal,1,1016,0.0784313725490196,0.862745098039216,0.235294117647059,-22.504380475594488,-33.26533166458073,-15.11076345431789
30,ParCnt_L,ctx-lh-paracentral,Frontal,1,1017,0.235294117647059,0.862745098039216,0.235294117647059,-6.382488479262676,-28.4326375711575,58.38059094605583
31,ParOpr_L,ctx-lh-parsopercularis,Frontal,1,1018,0.862745098039216,0.705882352941177,0.549019607843137,-47.873788290034895,18.01434664598682,13.880767739433892
32,ParOrb_L,ctx-lh-parsorbitalis,Frontal,1,1019,0.0784313725490196,0.392156862745098,0.196078431372549,-42.117596932253946,38.14145717937794,-13.541116318704724
33,ParTrg_L,ctx-lh-parstriangularis,Frontal,1,1020,0.862745098039216,0.235294117647059,0.0784313725490196,-46.47525722684958,35.28980891719746,1.7006369426751604
34,PerCal_L,ctx-lh-pericalcarine,Occipital,1,1021,0.470588235294118,0.392156862745098,0.235294117647059,-10.0861153262519,-81.49658573596358,5.069044006069802
35,PsCtr_L,ctx-lh-postcentral,Parietal,1,1022,0.862745098039216,0.0784313725490196,0.0784313725490196,-43.684295356099526,-24.255364158356002,47.482320942883035
36,PCg_L,ctx-lh-posteriorcingulate,Cingulate,1,1023,0.862745098039216,0.705882352941177,0.862745098039216,-6.110488390712575,-19.261409127301846,35.791833466773426
37,PreCt_L,ctx-lh-precentral,Frontal,1,1024,0.235294117647059,0.0784313725490196,0.862745098039216,-40.169151376146786,-6.956422018348633,43.166069380733944
38,Precu_L,ctx-lh-precuneus,Parietal,1,1025,0.627450980392157,0.549019607843137,0.705882352941177,-7.992435703479572,-58.70470877458396,37.19005295007565
39,RACg_L,ctx-lh-rostralanteriorcingulate,Cingulate,1,1026,0.313725490196078,0.0784313725490196,0.549019607843137,-5.785929043896573,35.922429344558026,2.1767889356584504
40,RMFr_L,ctx-lh-rostralmiddlefrontal,Frontal,1,1027,0.294117647058824,0.196078431372549,0.490196078431373,-31.140112289457264,47.93730505302557,18.150530255770434
41,SpFr_L,ctx-lh-superiorfrontal,Frontal,1,1028,0.0784313725490196,0.862745098039216,0.627450980392157,-9.712691001697792,27.44473684210527,44.40764006791173
42,SpPr_L,ctx-lh-superiorparietal,Parietal,1,1029,0.0784313725490196,0.705882352941177,0.549019607843137,-21.071084613620727,-66.80302682870901,49.275777726821076
43,SpTmp_L,ctx-lh-superiortemporal,Temporal,1,1030,0.549019607843137,0.862745098039216,0.862745098039216,-52.84053928405393,-10.357740585774053,-4.421896792189685
44,SpMar_L,ctx-lh-supramarginal,Parietal,1,1031,0.313725490196078,0.627450980392157,0.0784313725490196,-54.09662522202487,-36.451687388987565,32.43685612788633
45,Fpole_L,ctx-lh-frontalpole,Frontal,1,1032,0.392156862745098,0.0,0.392156862745098,-6.914285714285711,66.072049689441,-8.228571428571428
46,Tpole_L,ctx-lh-temporalpole,Temporal,1,1033,0.274509803921569,0.274509803921569,0.274509803921569,-28.801591981132077,12.382370283018872,-37.895636792452834
47,TrTem_L,ctx-lh-transversetemporal,Temporal,1,1034,0.588235294117647,0.588235294117647,0.784313725490196,-43.29012345679013,-22.701058201058203,7.534391534391531
48,Ins_L,ctx-lh-insula,Subcortical,1,1035,1.0,0.752941176470588,0.125490196078431,-35.34669743293914,-0.07528122295931894,-1.342082492068073
49,Bkst_R,ctx-rh-bankssts,Temporal,0,2001,0.0980392156862745,0.392156862745098,0.156862745098039,53.48124999999999,-38.533125,8.182500000000005
50,CaACg_R,ctx-rh-caudalanteriorcingulate,Cingulate,0,2002,0.490196078431373,0.392156862745098,0.627450980392157,6.294773928361707,20.58837345860246,26.37052260716382
51,CaMFr_R,ctx-rh-caudalmiddlefrontal,Frontal,0,2003,0.392156862745098,0.0980392156862745,0.0,38.01931191171698,11.212431028886726,48.79470950989938
52,Cun_R,ctx-rh-cuneus,Occipital,0,2005,0.862745098039216,0.0784313725490196,0.392156862745098,-1.1282051282051242,-75.33333333333333,7.205128205128204
53,Ethr_R,ctx-rh-entorhinal,Temporal,0,2006,0.862745098039216,0.0784313725490196,0.0392156862745098,22.89598352214213,-3.767765190525239,-33.651390319258496
54,Fusi_R,ctx-rh-fusiform,Temporal,0,2007,0.705882352941177,0.862745098039216,0.549019607843137,35.74458492600215,-38.28530824267372,-24.204547682054297
55,InPar_R,ctx-rh-inferiorparietal,Parietal,0,2008,0.862745098039216,0.235294117647059,0.862745098039216,47.45668276972626,-60.76489533011272,33.97475040257649
56,InTem_R,ctx-rh-inferiortemporal,Temporal,0,2009,0.705882352941177,0.156862745098039,0.470588235294118,51.431053105310525,-29.08154815481548,-24.851215121512155
57,IstCg_R,ctx-rh-isthmuscingulate,Cingulate,0,2010,0.549019607843137,0.0784313725490196,0.549019607843137,8.72446287222013,-44.81907274783265,16.504334715416505
58,LOcc_R,ctx-rh-lateraloccipital,Occipital,0,2011,0.0784313725490196,0.117647058823529,0.549019607843137,34.81748921251349,-83.94316343042071,1.8562567421790703
59,LObFr_R,ctx-rh-lateralorbitofrontal,Frontal,0,2012,0.137254901960784,0.294117647058824,0.196078431372549,22.955926146515793,31.852531268612267,-18.387492555092322
60,Ling_R,ctx-rh-lingual,Occipital,0,2013,0.882352941176471,0.549019607843137,0.549019607843137,-1.0,-90.0,-8.0
61,MObFr_R,ctx-rh-medialorbitofrontal,Frontal,0,2014,0.784313725490196,0.137254901960784,0.294117647058824,6.256862745098033,37.73431372549018,-16.632352941176464
62,MTem_R,ctx-rh-middletemporal,Temporal,0,2015,0.627450980392157,0.392156862745098,0.196078431372549,59.20879473599743,-22.573663938372647,-13.293131118600542
63,ParHip_R,ctx-rh-parahippocampal,Temporal,0,2016,0.0784313725490196,0.862745098039216,0.235294117647059,22.923728813559336,-29.888619854721554,-16.831113801452787
64,ParCnt_R,ctx-rh-paracentral,Frontal,0,2017,0.235294117647059,0.862745098039216,0.235294117647059,7.227044312471435,-24.06692553677479,56.39447236180905
65,ParOpr_R,ctx-rh-parsopercularis,Frontal,0,2018,0.862745098039216,0.705882352941177,0.549019607843137,48.74645030425964,15.609533468559846,11.220588235294116
66,ParOrb_R,ctx-rh-parsorbitalis,Frontal,0,2019,0.0784313725490196,0.392156862745098,0.196078431372549,44.11537200917732,39.79187151753524,-12.039331366764998
67,ParTrg_R,ctx-rh-parstriangularis,Frontal,0,2020,0.862745098039216,0.235294117647059,0.0784313725490196,48.8345554537122,33.62969752520624,6.1368010999083396
68,PerCal_R,ctx-rh-pericalcarine,Occipital,0,2021,0.470588235294118,0.392156862745098,0.235294117647059,12.116211878009636,-79.3486356340289,6.305617977528087
69,PsCtr_R,ctx-rh-postcentral,Parietal,0,2022,0.862745098039216,0.0784313725490196,0.0784313725490196,46.69470142977292,-18.628379190195844,42.474708638712
70,PCg_R,ctx-rh-posteriorcingulate,Cingulate,0,2023,0.862745098039216,0.705882352941177,0.862745098039216,6.824767161090023,-18.7957916522939,37.51224560193171
71,PreCt_R,ctx-rh-precentral,Frontal,0,2024,0.235294117647059,0.0784313725490196,0.862745098039216,40.43391540551028,-6.488552580519979,45.07636786961584
72,Precu_R,ctx-rh-precuneus,Parietal,0,2025,0.627450980392157,0.549019607843137,0.705882352941177,10.019135981443895,-57.1504783995361,38.016816468541606
73,RACg_R,ctx-rh-rostralanteriorcingulate,Cingulate,0,2026,0.313725490196078,0.0784313725490196,0.549019607843137,7.065573770491795,36.53005464480876,5.740740740740748
74,RMFr_R,ctx-rh-rostralmiddlefrontal,Frontal,0,2027,0.294117647058824,0.196078431372549,0.490196078431373,34.1887621696801,46.69068150208622,17.659638386648126
75,SpFr_R,ctx-rh-superiorfrontal,Frontal,0,2028,0.0784313725490196,0.862745098039216,0.627450980392157,12.220950369588166,30.75129883843718,44.21102428722281
76,SpPr_R,ctx-rh-superiorparietal,Parietal,0,2029,0.0784313725490196,0.705882352941177,0.549019607843137,24.193665037166,-61.63677760664301,53.06750150673005
77,SpTmp_R,ctx-rh-superiortemporal,Temporal,0,2030,0.549019607843137,0.862745098039216,0.862745098039216,54.56375352396296,-6.551751913008445,-5.163431333064835
78,SpMar_R,ctx-rh-supramarginal,Parietal,0,2031,0.313725490196078,0.627450980392157,0.0784313725490196,56.66999879561604,-28.29423100084307,31.82114898229557
79,Fpole_R,ctx-rh-frontalpole,Frontal,0,2032,0.392156862745098,0.0,0.392156862745098,8.363965267727934,65.28002894356007,-10.835021707670037
80,Tpole_R,ctx-rh-temporalpole,Temporal,0,2033,0.274509803921569,0.274509803921569,0.274509803921569,30.30196483971045,15.599103757325054,-35.566701137538786
81,TrTem_R,ctx-rh-transversetemporal,Temporal,0,2034,0.588235294117647,0.588235294117647,0.784313725490196,45.306179775280896,-19.080524344569284,7.742509363295881
82,Ins_R,ctx-rh-insula,Subcortical,0,2035,1.0,0.752941176470588,0.125490196078431,36.85153779821789,1.5268755389479622,-1.8025294624892183
